# Region type : patch pressure_outlet
# Faces       : 1888
# Area        : 4.314365e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
378           	(-8.418367e-04 3.352042e-02 1.000368e+00)
379           	(-7.530117e-04 3.365174e-02 1.000357e+00)
380           	(-9.091733e-04 3.370148e-02 1.000371e+00)
381           	(-9.818729e-04 3.361199e-02 1.000354e+00)
382           	(-9.915756e-04 3.362515e-02 1.000403e+00)
383           	(-9.831153e-04 3.365752e-02 1.000382e+00)
384           	(-1.251874e-03 3.363164e-02 1.000369e+00)
385           	(-1.168042e-03 3.376326e-02 1.000339e+00)
386           	(-1.348480e-03 3.382530e-02 1.000347e+00)
387           	(-1.502003e-03 3.385954e-02 1.000345e+00)
388           	(-1.584892e-03 3.400192e-02 1.000373e+00)
389           	(-1.627059e-03 3.410818e-02 1.000361e+00)
390           	(-1.931312e-03 3.405032e-02 1.000379e+00)
391           	(-1.924644e-03 3.421393e-02 1.000366e+00)
392           	(-2.111721e-03 3.429385e-02 1.000379e+00)
393           	(-2.259625e-03 3.435668e-02 1.000368e+00)
394           	(-2.266116e-03 3.450121e-02 1.000389e+00)
395           	(-2.295529e-03 3.459825e-02 1.000395e+00)
396           	(-2.562344e-03 3.467793e-02 1.000387e+00)
397           	(-2.552968e-03 3.488295e-02 1.000384e+00)
398           	(-2.835379e-03 3.487268e-02 1.000394e+00)
399           	(-2.833633e-03 3.501866e-02 1.000394e+00)
400           	(-3.025574e-03 3.508814e-02 1.000397e+00)
401           	(-3.233822e-03 3.501208e-02 1.000378e+00)
402           	(-3.307877e-03 3.517812e-02 1.000376e+00)
403           	(-3.467806e-03 3.515848e-02 1.000355e+00)
404           	(-3.569689e-03 3.526701e-02 1.000366e+00)
405           	(-3.798474e-03 3.522308e-02 1.000352e+00)
406           	(-3.869068e-03 3.539916e-02 1.000365e+00)
407           	(-4.095740e-03 3.541752e-02 1.000352e+00)
408           	(-4.180281e-03 3.544822e-02 1.000366e+00)
409           	(-4.325052e-03 3.542678e-02 1.000366e+00)
410           	(-4.346042e-03 3.553441e-02 1.000395e+00)
411           	(-4.420367e-03 3.548069e-02 1.000392e+00)
412           	(-4.586355e-03 3.543627e-02 1.000404e+00)
413           	(-4.587425e-03 3.550593e-02 1.000408e+00)
414           	(-4.653184e-03 3.543160e-02 1.000482e+00)
415           	(-4.688891e-03 3.539217e-02 1.000539e+00)
416           	(-4.745001e-03 3.536952e-02 1.000536e+00)
417           	(-4.750831e-03 3.541109e-02 1.000442e+00)
418           	(-4.940112e-03 3.538705e-02 1.000401e+00)
419           	(-5.026656e-03 3.547957e-02 1.000352e+00)
420           	(-5.014303e-03 3.548727e-02 1.000357e+00)
421           	(-5.235605e-03 3.564547e-02 1.000339e+00)
422           	(-5.368502e-03 3.559826e-02 1.000370e+00)
423           	(-5.354963e-03 3.568040e-02 1.000354e+00)
424           	(-5.336650e-03 3.575692e-02 1.000389e+00)
425           	(-5.459845e-03 3.569725e-02 1.000377e+00)
426           	(-5.461787e-03 3.580111e-02 1.000406e+00)
427           	(-5.408228e-03 3.583560e-02 1.000380e+00)
428           	(-5.540908e-03 3.571916e-02 1.000386e+00)
429           	(-5.470280e-03 3.575253e-02 1.000361e+00)
430           	(-5.356514e-03 3.581290e-02 1.000377e+00)
431           	(-5.373094e-03 3.575751e-02 1.000369e+00)
432           	(-5.345936e-03 3.579193e-02 1.000389e+00)
433           	(-5.362522e-03 3.572938e-02 1.000376e+00)
434           	(-5.374957e-03 3.570267e-02 1.000388e+00)
435           	(-5.276436e-03 3.568491e-02 1.000368e+00)
436           	(-5.236473e-03 3.570864e-02 1.000382e+00)
437           	(-5.137848e-03 3.568943e-02 1.000361e+00)
438           	(-5.064264e-03 3.566113e-02 1.000373e+00)
439           	(-5.042525e-03 3.561154e-02 1.000353e+00)
440           	(-4.918393e-03 3.563783e-02 1.000373e+00)
441           	(-4.871823e-03 3.560189e-02 1.000362e+00)
442           	(-4.842133e-03 3.556340e-02 1.000379e+00)
443           	(-4.713828e-03 3.554656e-02 1.000362e+00)
444           	(-4.707485e-03 3.549750e-02 1.000376e+00)
445           	(-4.652109e-03 3.539619e-02 1.000357e+00)
446           	(-4.511061e-03 3.540827e-02 1.000377e+00)
447           	(-4.436839e-03 3.537948e-02 1.000374e+00)
448           	(-4.415457e-03 3.533036e-02 1.000398e+00)
449           	(-4.308925e-03 3.528592e-02 1.000383e+00)
450           	(-4.314387e-03 3.537548e-02 1.000393e+00)
451           	(-4.193941e-03 3.533651e-02 1.000356e+00)
452           	(-4.076274e-03 3.531200e-02 1.000378e+00)
453           	(-4.127769e-03 3.530001e-02 1.000388e+00)
454           	(-4.111178e-03 3.525824e-02 1.000405e+00)
