# Region type : patch pressure_outlet
# Faces       : 11534
# Area        : 3.696967e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
368           	(3.189209e-06 -8.358973e-06 9.998916e-04)
369           	(3.179500e-06 -8.264648e-06 9.998896e-04)
370           	(3.186807e-06 -8.217284e-06 9.999686e-04)
371           	(3.148062e-06 -8.211950e-06 9.999318e-04)
372           	(3.150483e-06 -8.098245e-06 9.998717e-04)
373           	(3.147415e-06 -8.018841e-06 9.998425e-04)
374           	(3.135916e-06 -7.976018e-06 9.998390e-04)
375           	(3.121708e-06 -7.943834e-06 9.998511e-04)
376           	(3.111828e-06 -7.909245e-06 9.998664e-04)
377           	(3.104011e-06 -7.866976e-06 9.998791e-04)
378           	(3.100328e-06 -7.819457e-06 9.998877e-04)
379           	(3.091978e-06 -7.766431e-06 9.998923e-04)
380           	(3.079725e-06 -7.675496e-06 9.998929e-04)
381           	(3.081716e-06 -7.617199e-06 9.999747e-04)
382           	(3.049186e-06 -7.624083e-06 9.999381e-04)
383           	(3.055715e-06 -7.517453e-06 9.998719e-04)
384           	(3.053232e-06 -7.441550e-06 9.998394e-04)
385           	(3.043269e-06 -7.402389e-06 9.998343e-04)
386           	(3.030398e-06 -7.373946e-06 9.998465e-04)
387           	(3.021181e-06 -7.343217e-06 9.998629e-04)
388           	(3.013627e-06 -7.304505e-06 9.998771e-04)
389           	(3.011281e-06 -7.260767e-06 9.998869e-04)
390           	(3.003015e-06 -7.211127e-06 9.998916e-04)
391           	(2.991215e-06 -7.158832e-06 9.998917e-04)
392           	(2.984203e-06 -7.074405e-06 9.998887e-04)
393           	(2.984485e-06 -7.020547e-06 9.999675e-04)
394           	(2.952070e-06 -7.032619e-06 9.999319e-04)
395           	(2.958441e-06 -6.932169e-06 9.998688e-04)
396           	(2.957067e-06 -6.862337e-06 9.998398e-04)
397           	(2.946942e-06 -6.828573e-06 9.998372e-04)
398           	(2.932725e-06 -6.805014e-06 9.998503e-04)
399           	(2.924683e-06 -6.779387e-06 9.998661e-04)
400           	(2.917034e-06 -6.745425e-06 9.998788e-04)
401           	(2.913556e-06 -6.706255e-06 9.998870e-04)
402           	(2.903322e-06 -6.660070e-06 9.998909e-04)
403           	(2.898979e-06 -6.615580e-06 9.998912e-04)
404           	(2.886320e-06 -6.533573e-06 9.998893e-04)
405           	(2.890179e-06 -6.485837e-06 9.999684e-04)
406           	(2.857819e-06 -6.502356e-06 9.999340e-04)
407           	(2.863902e-06 -6.406720e-06 9.998715e-04)
408           	(2.862704e-06 -6.342068e-06 9.998421e-04)
409           	(2.852984e-06 -6.312593e-06 9.998388e-04)
410           	(2.839115e-06 -6.293714e-06 9.998512e-04)
411           	(2.827421e-06 -6.271067e-06 9.998667e-04)
412           	(2.817932e-06 -6.241042e-06 9.998788e-04)
413           	(2.809261e-06 -6.203541e-06 9.998872e-04)
414           	(2.802885e-06 -6.162825e-06 9.998915e-04)
415           	(2.793785e-06 -6.084429e-06 9.998920e-04)
416           	(2.801912e-06 -6.039240e-06 9.999738e-04)
417           	(2.774133e-06 -6.058851e-06 9.999381e-04)
